EventType,Rate
"D",3833,50.400000000000006
"D",3834,46.8
"D",3835,47.7
"D",3836,41.400000000000006
"D",3837,40.5
"D",3838,38.7
"D",3839,36.0
"D",3840,36.0
"D",3841,36.900000000000006
"D",3842,36.0
"D",3843,34.2
"D",3844,33.3
"D",3845,30.599999999999998
"D",3847,26.099999999999998
"D",3848,30.900000000000002
"D",3849,31.799999999999997
"D",3850,32.7
"D",3851,32.099999999999994
"D",3852,36.900000000000006
"D",3853,39.900000000000006
"D",3854,43.2
"D",3855,47.099999999999994
"D",3856,49.5
"D",3857,45.900000000000006
"D",3858,46.5
"D",3859,50.400000000000006
"D",3860,46.5
"D",3861,45.900000000000006
"D",3862,45.900000000000006
"D",3863,44.099999999999994
"D",3864,42.3
"D",3865,39.599999999999994
"D",3866,40.5
"D",3867,45.900000000000006
"D",3868,45.0
"D",3869,41.400000000000006
"D",3870,45.0
"D",3871,45.0
"D",3872,39.599999999999994
"D",3873,43.2
"D",3874,45.0
"D",3875,45.900000000000006
"D",3876,44.099999999999994
"D",3877,38.7
"D",3878,35.099999999999994
"D",3879,36.0
"D",3880,32.400000000000006
"D",3881,36.0
"D",3882,37.8
"D",3883,33.3
"D",3884,34.2
"D",3885,33.3
"D",3886,31.5
"D",3887,32.400000000000006
"D",3888,33.3
"D",3889,35.099999999999994
"D",3890,36.900000000000006
"D",3891,32.400000000000006
"D",3892,36.0
"D",3893,36.900000000000006
"D",3894,31.5
"D",3895,28.799999999999997
"D",3896,30.599999999999998
"D",3897,33.3
"D",3898,31.5
"D",3899,28.799999999999997
"D",3900,24.299999999999997
"D",3901,27.900000000000002
"D",3902,27.900000000000002
"D",3903,27.0
"D",3904,32.400000000000006
"D",3905,33.3
"D",3906,36.900000000000006
"D",3907,35.099999999999994
"D",3908,39.599999999999994
"D",3909,39.599999999999994
"D",3910,42.3
"D",3911,44.099999999999994
"D",3912,48.599999999999994
"D",3913,53.099999999999994
"D",3914,47.7
"D",3915,49.5
"D",3916,46.8
"D",3917,48.599999999999994
"D",3918,46.8
"D",3919,49.5
"D",3920,47.7
"D",3921,43.2
"D",3922,35.099999999999994
"D",3923,36.900000000000006
"D",3924,39.599999999999994
"D",3925,39.599999999999994
"D",3926,38.7
"D",3927,37.8
"D",3928,35.099999999999994
"D",3930,33.3
"D",3931,35.400000000000006
"D",3932,39.0
"D",3933,36.0
"D",3934,33.0
"D",3935,30.599999999999998
"D",3936,31.200000000000003
"D",3937,34.2
"D",3938,36.0
"D",3939,36.0
"D",3940,36.900000000000006
"D",3941,35.099999999999994
"D",3942,36.0
"D",3943,39.599999999999994
"D",3944,40.5
"D",3945,43.2
"D",3946,41.400000000000006
"D",3947,43.2
"D",3948,42.3
"D",3949,44.099999999999994
"D",3950,45.900000000000006
"D",3951,46.8
"D",3952,45.900000000000006
"D",3953,44.099999999999994
"D",3954,49.5
"D",3955,47.7
"D",3956,44.099999999999994
"D",3957,45.900000000000006
"D",3958,47.7
"D",3959,44.099999999999994
"D",3960,44.099999999999994
"D",3961,44.099999999999994
"D",3962,43.2
"D",3963,40.5
"D",3964,34.2
"D",3965,35.099999999999994
"D",3966,40.5
"D",3967,38.7
"D",3968,36.0
"D",3969,38.7
"D",3970,40.5
"D",3971,39.599999999999994
"D",3972,39.599999999999994
"D",3973,44.099999999999994
"D",3974,46.8
"D",3975,47.7
"D",3976,45.900000000000006
"D",3977,45.900000000000006
"D",3978,46.8
"D",3979,45.900000000000006
"D",3980,39.599999999999994
"D",3981,39.599999999999994
"D",3982,41.400000000000006
"D",3983,39.599999999999994
"D",3984,37.8
"D",3985,36.0
"D",3986,36.900000000000006
"D",3987,37.8
"D",3988,38.7
"D",3989,38.7
"D",3990,41.400000000000006
"SEQ(F, D, E)",3243,0.0
"SEQ(F, D, E)",3244,0.0
"SEQ(F, D, E)",3245,0.0
"SEQ(F, D, E)",3246,0.0
"SEQ(F, D, E)",3247,0.0
"SEQ(F, D, E)",3248,0.0
"SEQ(F, D, E)",3249,0.0
"SEQ(F, D, E)",3250,0.0
"SEQ(F, D, E)",3251,0.0
"SEQ(F, D, E)",3252,0.0
"SEQ(F, D, E)",3253,0.0
"SEQ(F, D, E)",3254,0.0
"SEQ(F, D, E)",3255,0.0
"SEQ(F, D, E)",3256,0.0
"SEQ(F, D, E)",3257,0.0
"SEQ(F, D, E)",3258,0.0
"SEQ(F, D, E)",3259,0.0
"SEQ(F, D, E)",3260,0.0
"SEQ(F, D, E)",3261,0.0
"SEQ(F, D, E)",3262,0.0
"SEQ(F, D, E)",3263,0.0
"SEQ(F, D, E)",3264,0.0
"SEQ(F, D, E)",3265,0.0
"SEQ(F, D, E)",3266,0.0
"SEQ(F, D, E)",3267,0.0
"SEQ(F, D, E)",3268,0.0
"SEQ(F, D, E)",3269,0.0
"SEQ(F, D, E)",3270,0.0
"SEQ(F, D, E)",3271,0.0
"SEQ(F, D, E)",3272,0.0
"SEQ(F, D, E)",3273,0.0
"SEQ(F, D, E)",3274,0.0
"SEQ(F, D, E)",3275,0.0
"SEQ(F, D, E)",3276,0.0
"SEQ(F, D, E)",3277,0.0
"SEQ(F, D, E)",3278,0.0
"SEQ(F, D, E)",3279,0.0
"SEQ(F, D, E)",3280,0.0
"SEQ(F, D, E)",3281,0.0
"SEQ(F, D, E)",3282,0.0
"SEQ(F, D, E)",3283,0.0
"SEQ(F, D, E)",3284,0.0
"SEQ(F, D, E)",3285,0.0
"SEQ(F, D, E)",3286,0.0
"SEQ(F, D, E)",3287,0.0
