EventType,Rate
"D",44.099999999999994
"D",44.099999999999994
"D",44.099999999999994
"D",43.2
"D",40.5
"D",34.2
"D",35.099999999999994
"D",40.5
"D",38.7
"D",36.0
"D",38.7
"D",40.5
"D",39.599999999999994
"D",39.599999999999994
"D",44.099999999999994
"D",46.8
"D",47.7
"D",45.900000000000006
"D",45.900000000000006
"D",46.8
"D",45.900000000000006
"D",39.599999999999994
"D",39.599999999999994
"D",41.400000000000006
"D",39.599999999999994
"D",37.8
"D",36.0
"D",36.900000000000006
"D",37.8
"D",38.7
"D",38.7
"D",41.400000000000006
"D",40.5
"D",41.400000000000006
"D",42.3
"D",47.7
"D",43.2
"D",40.2
"D",39.3
"D",38.7
"D",37.8
"D",36.3
"D",34.8
"D",34.2
"D",29.400000000000002
"D",27.900000000000002
"D",30.599999999999998
"D",31.200000000000003
"D",36.0
"D",36.0
"D",36.900000000000006
"D",39.599999999999994
"D",37.8
"D",41.400000000000006
"D",40.5
"D",41.400000000000006
"D",42.3
"D",40.5
"D",38.7
"D",39.599999999999994
"D",36.0
"D",29.700000000000003
"D",27.0
"D",20.700000000000003
"D",18.0
"D",14.399999999999999
"D",9.0
"D",7.199999999999999
"D",3.5999999999999996
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"D",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
